
01.02armB  <  (87,251) (87,252) (88,252) (88,251) > 
52.05armG  <  (4524,701) (4524,702) (4525,702) (4525,701) > 
52.07armG  <  (4524,1001) (4524,1002) (4525,1002) (4525,1001) > 
52.09armG  <  (4524,1301) (4524,1302) (4525,1302) (4525,1301) > 
52.11armG  <  (4524,1601) (4524,1602) (4525,1602) (4525,1601) > 
52.13armG  <  (4524,1901) (4524,1902) (4525,1902) (4525,1901) > 
52.15armG  <  (4524,2201) (4524,2202) (4525,2202) (4525,2201) > 
52.17armG  <  (4524,2501) (4524,2502) (4525,2502) (4525,2501) > 
52.19armG  <  (4524,2801) (4524,2802) (4525,2802) (4525,2801) > 
52.21armG  <  (4524,3101) (4524,3102) (4525,3102) (4525,3101) > 
52.23armG  <  (4524,3401) (4524,3402) (4525,3402) (4525,3401) > 
52.25armG  <  (4524,3701) (4524,3702) (4525,3702) (4525,3701) > 
52.27armG  <  (4524,4001) (4524,4002) (4525,4002) (4525,4001) > 
52.29armG  <  (4524,4301) (4524,4302) (4525,4302) (4525,4301) > 
52.31armG  <  (4524,4601) (4524,4602) (4525,4602) (4525,4601) > 
52.33armG  <  (4524,4901) (4524,4902) (4525,4902) (4525,4901) > 
53.04armG  <  (4611,551) (4611,552) (4612,552) (4612,551) > 
53.06armG  <  (4611,851) (4611,852) (4612,852) (4612,851) > 
53.08armG  <  (4611,1151) (4611,1152) (4612,1152) (4612,1151) > 
53.10armG  <  (4611,1451) (4611,1452) (4612,1452) (4612,1451) > 
53.12armG  <  (4611,1751) (4611,1752) (4612,1752) (4612,1751) > 
53.14armG  <  (4611,2051) (4611,2052) (4612,2052) (4612,2051) > 
53.16armG  <  (4611,2351) (4611,2352) (4612,2352) (4612,2351) > 
53.18armG  <  (4611,2651) (4611,2652) (4612,2652) (4612,2651) > 
53.20armG  <  (4611,2951) (4611,2952) (4612,2952) (4612,2951) > 
53.22armG  <  (4611,3251) (4611,3252) (4612,3252) (4612,3251) > 
53.24armG  <  (4611,3551) (4611,3552) (4612,3552) (4612,3551) > 
53.26armG  <  (4611,3851) (4611,3852) (4612,3852) (4612,3851) > 
53.28armG  <  (4611,4151) (4611,4152) (4612,4152) (4612,4151) > 
53.30armG  <  (4611,4451) (4611,4452) (4612,4452) (4612,4451) > 
53.32armG  <  (4611,4751) (4611,4752) (4612,4752) (4612,4751) > 
53.34armG  <  (4569,5071) (4569,5072) (4570,5072) (4570,5071) > 
54.03armG  <  (4674,398) (4674,399) (4675,399) (4675,398) > 
54.05armG  <  (4698,701) (4698,702) (4699,702) (4699,701) > 
54.07armG  <  (4698,1001) (4698,1002) (4699,1002) (4699,1001) > 
54.09armG  <  (4698,1301) (4698,1302) (4699,1302) (4699,1301) > 
54.11armG  <  (4698,1601) (4698,1602) (4699,1602) (4699,1601) > 
54.13armG  <  (4698,1901) (4698,1902) (4699,1902) (4699,1901) > 
54.15armG  <  (4698,2201) (4698,2202) (4699,2202) (4699,2201) > 
54.17armG  <  (4698,2501) (4698,2502) (4699,2502) (4699,2501) > 
54.19armG  <  (4698,2801) (4698,2802) (4699,2802) (4699,2801) > 
54.21armG  <  (4698,3101) (4698,3102) (4699,3102) (4699,3101) > 
54.23armG  <  (4698,3401) (4698,3402) (4699,3402) (4699,3401) > 
54.25armG  <  (4698,3701) (4698,3702) (4699,3702) (4699,3701) > 
54.27armG  <  (4698,4001) (4698,4002) (4699,4002) (4699,4001) > 
54.29armG  <  (4698,4301) (4698,4302) (4699,4302) (4699,4301) > 
54.31armG  <  (4698,4601) (4698,4602) (4699,4602) (4699,4601) > 
54.33armG  <  (4698,4901) (4698,4902) (4699,4902) (4699,4901) > 
55.04armG  <  (4785,551) (4785,552) (4786,552) (4786,551) > 
55.06armG  <  (4785,851) (4785,852) (4786,852) (4786,851) > 
55.08armG  <  (4785,1151) (4785,1152) (4786,1152) (4786,1151) > 
55.10armG  <  (4785,1451) (4785,1452) (4786,1452) (4786,1451) > 
55.12armG  <  (4785,1751) (4785,1752) (4786,1752) (4786,1751) > 
55.14armG  <  (4785,2051) (4785,2052) (4786,2052) (4786,2051) > 
55.16armG  <  (4785,2351) (4785,2352) (4786,2352) (4786,2351) > 
55.18armG  <  (4785,2651) (4785,2652) (4786,2652) (4786,2651) > 
55.20armG  <  (4785,2951) (4785,2952) (4786,2952) (4786,2951) > 
55.22armG  <  (4785,3251) (4785,3252) (4786,3252) (4786,3251) > 
55.24armG  <  (4785,3551) (4785,3552) (4786,3552) (4786,3551) > 
55.26armG  <  (4785,3851) (4785,3852) (4786,3852) (4786,3851) > 
55.28armG  <  (4785,4151) (4785,4152) (4786,4152) (4786,4151) > 
55.30armG  <  (4785,4451) (4785,4452) (4786,4452) (4786,4451) > 
55.32armG  <  (4785,4751) (4785,4752) (4786,4752) (4786,4751) > 
56.05armG  <  (4872,701) (4872,702) (4873,702) (4873,701) > 
56.07armG  <  (4872,1001) (4872,1002) (4873,1002) (4873,1001) > 
56.09armG  <  (4872,1301) (4872,1302) (4873,1302) (4873,1301) > 
56.11armG  <  (4872,1601) (4872,1602) (4873,1602) (4873,1601) > 
56.13armG  <  (4872,1901) (4872,1902) (4873,1902) (4873,1901) > 
56.15armG  <  (4872,2201) (4872,2202) (4873,2202) (4873,2201) > 
56.17armG  <  (4872,2501) (4872,2502) (4873,2502) (4873,2501) > 
56.19armG  <  (4872,2801) (4872,2802) (4873,2802) (4873,2801) > 
56.21armG  <  (4872,3101) (4872,3102) (4873,3102) (4873,3101) > 
56.23armG  <  (4872,3401) (4872,3402) (4873,3402) (4873,3401) > 
56.25armG  <  (4872,3701) (4872,3702) (4873,3702) (4873,3701) > 
56.27armG  <  (4872,4001) (4872,4002) (4873,4002) (4873,4001) > 
56.29armG  <  (4872,4301) (4872,4302) (4873,4302) (4873,4301) > 
56.31armG  <  (4872,4601) (4872,4602) (4873,4602) (4873,4601) > 
56.33armG  <  (4872,4901) (4872,4902) (4873,4902) (4873,4901) > 
57.04armG  <  (4902,577) (4902,578) (4903,578) (4903,577) > 
57.06armG  <  (4959,851) (4959,852) (4960,852) (4960,851) > 
57.08armG  <  (4959,1151) (4959,1152) (4960,1152) (4960,1151) > 
57.10armG  <  (4959,1451) (4959,1452) (4960,1452) (4960,1451) > 
57.12armG  <  (4959,1751) (4959,1752) (4960,1752) (4960,1751) > 
57.14armG  <  (4959,2051) (4959,2052) (4960,2052) (4960,2051) > 
57.16armG  <  (4959,2351) (4959,2352) (4960,2352) (4960,2351) > 
57.18armG  <  (4959,2651) (4959,2652) (4960,2652) (4960,2651) > 
57.20armG  <  (4959,2951) (4959,2952) (4960,2952) (4960,2951) > 
57.22armG  <  (4959,3251) (4959,3252) (4960,3252) (4960,3251) > 
57.24armG  <  (4959,3551) (4959,3552) (4960,3552) (4960,3551) > 
57.26armG  <  (4959,3851) (4959,3852) (4960,3852) (4960,3851) > 
57.28armG  <  (4959,4151) (4959,4152) (4960,4152) (4960,4151) > 
57.30armG  <  (4959,4451) (4959,4452) (4960,4452) (4960,4451) > 
57.32armG  <  (4959,4751) (4959,4752) (4960,4752) (4960,4751) > 
57.34armG  <  (4959,5051) (4959,5052) (4960,5052) (4960,5051) > 
58.05armG  <  (5046,701) (5046,702) (5047,702) (5047,701) > 
58.07armG  <  (5046,1001) (5046,1002) (5047,1002) (5047,1001) > 
58.09armG  <  (5046,1301) (5046,1302) (5047,1302) (5047,1301) > 
58.11armG  <  (5046,1601) (5046,1602) (5047,1602) (5047,1601) > 
58.13armG  <  (5046,1901) (5046,1902) (5047,1902) (5047,1901) > 
58.15armG  <  (5046,2201) (5046,2202) (5047,2202) (5047,2201) > 
58.17armG  <  (5046,2501) (5046,2502) (5047,2502) (5047,2501) > 
58.19armG  <  (5046,2801) (5046,2802) (5047,2802) (5047,2801) > 
58.21armG  <  (5046,3101) (5046,3102) (5047,3102) (5047,3101) > 
58.23armG  <  (5046,3401) (5046,3402) (5047,3402) (5047,3401) > 
58.25armG  <  (5046,3701) (5046,3702) (5047,3702) (5047,3701) > 
58.27armG  <  (5046,4001) (5046,4002) (5047,4002) (5047,4001) > 
58.29armG  <  (5046,4301) (5046,4302) (5047,4302) (5047,4301) > 
58.31armG  <  (5046,4601) (5046,4602) (5047,4602) (5047,4601) > 
59.04armG  <  (5115,595) (5115,596) (5116,596) (5116,595) > 
59.06armG  <  (5133,851) (5133,852) (5134,852) (5134,851) > 
59.08armG  <  (5133,1151) (5133,1152) (5134,1152) (5134,1151) > 
59.10armG  <  (5133,1451) (5133,1452) (5134,1452) (5134,1451) > 
59.12armG  <  (5133,1751) (5133,1752) (5134,1752) (5134,1751) > 
59.14armG  <  (5133,2051) (5133,2052) (5134,2052) (5134,2051) > 
59.16armG  <  (5133,2351) (5133,2352) (5134,2352) (5134,2351) > 
59.18armG  <  (5133,2651) (5133,2652) (5134,2652) (5134,2651) > 
59.20armG  <  (5133,2951) (5133,2952) (5134,2952) (5134,2951) > 
59.22armG  <  (5133,3251) (5133,3252) (5134,3252) (5134,3251) > 
59.24armG  <  (5133,3551) (5133,3552) (5134,3552) (5134,3551) > 
59.26armG  <  (5133,3851) (5133,3852) (5134,3852) (5134,3851) > 
59.28armG  <  (5133,4151) (5133,4152) (5134,4152) (5134,4151) > 
59.30armG  <  (5133,4451) (5133,4452) (5134,4452) (5134,4451) > 
59.32armG  <  (5132,4713) (5132,4714) (5133,4714) (5133,4713) > 
60.05armG  <  (5220,701) (5220,702) (5221,702) (5221,701) > 
60.07armG  <  (5220,1001) (5220,1002) (5221,1002) (5221,1001) > 
60.09armG  <  (5220,1301) (5220,1302) (5221,1302) (5221,1301) > 
60.11armG  <  (5220,1601) (5220,1602) (5221,1602) (5221,1601) > 
60.13armG  <  (5220,1901) (5220,1902) (5221,1902) (5221,1901) > 
60.15armG  <  (5220,2201) (5220,2202) (5221,2202) (5221,2201) > 
60.17armG  <  (5220,2501) (5220,2502) (5221,2502) (5221,2501) > 
60.19armG  <  (5220,2801) (5220,2802) (5221,2802) (5221,2801) > 
60.21armG  <  (5220,3101) (5220,3102) (5221,3102) (5221,3101) > 
60.23armG  <  (5220,3401) (5220,3402) (5221,3402) (5221,3401) > 
60.25armG  <  (5220,3701) (5220,3702) (5221,3702) (5221,3701) > 
60.27armG  <  (5220,4001) (5220,4002) (5221,4002) (5221,4001) > 
60.29armG  <  (5220,4301) (5220,4302) (5221,4302) (5221,4301) > 
60.31armG  <  (5220,4601) (5220,4602) (5221,4602) (5221,4601) > 
61.04armG  <  (5299,572) (5299,573) (5300,573) (5300,572) > 
61.06armG  <  (5307,851) (5307,852) (5308,852) (5308,851) > 
61.08armG  <  (5307,1151) (5307,1152) (5308,1152) (5308,1151) > 
61.10armG  <  (5307,1451) (5307,1452) (5308,1452) (5308,1451) > 
61.12armG  <  (5307,1751) (5307,1752) (5308,1752) (5308,1751) > 
61.14armG  <  (5307,2051) (5307,2052) (5308,2052) (5308,2051) > 
61.16armG  <  (5307,2351) (5307,2352) (5308,2352) (5308,2351) > 
61.18armG  <  (5307,2651) (5307,2652) (5308,2652) (5308,2651) > 
61.20armG  <  (5307,2951) (5307,2952) (5308,2952) (5308,2951) > 
61.22armG  <  (5307,3251) (5307,3252) (5308,3252) (5308,3251) > 
61.24armG  <  (5307,3551) (5307,3552) (5308,3552) (5308,3551) > 
61.26armG  <  (5307,3851) (5307,3852) (5308,3852) (5308,3851) > 
61.28armG  <  (5307,4151) (5307,4152) (5308,4152) (5308,4151) > 
61.30armG  <  (5307,4451) (5307,4452) (5308,4452) (5308,4451) > 
61.32armG  <  (5304,4695) (5304,4696) (5305,4696) (5305,4695) > 
62.05armG  <  (5394,701) (5394,702) (5395,702) (5395,701) > 
62.07armG  <  (5394,1001) (5394,1002) (5395,1002) (5395,1001) > 
62.09armG  <  (5394,1301) (5394,1302) (5395,1302) (5395,1301) > 
62.11armG  <  (5394,1601) (5394,1602) (5395,1602) (5395,1601) > 
62.13armG  <  (5394,1901) (5394,1902) (5395,1902) (5395,1901) > 
62.15armG  <  (5394,2201) (5394,2202) (5395,2202) (5395,2201) > 
62.17armG  <  (5394,2501) (5394,2502) (5395,2502) (5395,2501) > 
62.19armG  <  (5394,2801) (5394,2802) (5395,2802) (5395,2801) > 
62.21armG  <  (5394,3101) (5394,3102) (5395,3102) (5395,3101) > 
62.23armG  <  (5394,3401) (5394,3402) (5395,3402) (5395,3401) > 
62.25armG  <  (5394,3701) (5394,3702) (5395,3702) (5395,3701) > 
62.27armG  <  (5394,4001) (5394,4002) (5395,4002) (5395,4001) > 
62.29armG  <  (5394,4301) (5394,4302) (5395,4302) (5395,4301) > 
62.31armG  <  (5394,4601) (5394,4602) (5395,4602) (5395,4601) > 
63.04armG  <  (5481,551) (5481,552) (5482,552) (5482,551) > 
63.06armG  <  (5481,851) (5481,852) (5482,852) (5482,851) > 
63.08armG  <  (5481,1151) (5481,1152) (5482,1152) (5482,1151) > 
63.10armG  <  (5481,1451) (5481,1452) (5482,1452) (5482,1451) > 
63.12armG  <  (5467,1747) (5467,1748) (5468,1748) (5468,1747) > 
63.14armG  <  (5434,2043) (5434,2044) (5435,2044) (5435,2043) > 
63.16armG  <  (5427,2345) (5427,2346) (5428,2346) (5428,2345) > 
63.18armG  <  (5494,2649) (5494,2650) (5495,2650) (5495,2649) > 
63.20armG  <  (5416,2963) (5416,2964) (5417,2964) (5417,2963) > 
63.22armG  <  (5481,3251) (5481,3252) (5482,3252) (5482,3251) > 
63.24armG  <  (5481,3551) (5481,3552) (5482,3552) (5482,3551) > 
63.26armG  <  (5481,3851) (5481,3852) (5482,3852) (5482,3851) > 
63.28armG  <  (5481,4151) (5481,4152) (5482,4152) (5482,4151) > 
63.30armG  <  (5481,4451) (5481,4452) (5482,4452) (5482,4451) > 
63.32armG  <  (5481,4751) (5481,4752) (5482,4752) (5482,4751) > 
64.03armG  <  (5568,401) (5568,402) (5569,402) (5569,401) > 
64.05armG  <  (5568,701) (5568,702) (5569,702) (5569,701) > 
64.07armG  <  (5568,1001) (5568,1002) (5569,1002) (5569,1001) > 
64.09armG  <  (5568,1301) (5568,1302) (5569,1302) (5569,1301) > 
64.11armG  <  (5555,1592) (5555,1593) (5556,1593) (5556,1592) > 
64.17armG  <  (5519,2516) (5519,2517) (5520,2517) (5520,2516) > 
64.21armG  <  (5568,3101) (5568,3102) (5569,3102) (5569,3101) > 
64.23armG  <  (5568,3401) (5568,3402) (5569,3402) (5569,3401) > 
64.25armG  <  (5568,3701) (5568,3702) (5569,3702) (5569,3701) > 
64.27armG  <  (5568,4001) (5568,4002) (5569,4002) (5569,4001) > 
64.29armG  <  (5568,4301) (5568,4302) (5569,4302) (5569,4301) > 
64.31armG  <  (5568,4601) (5568,4602) (5569,4602) (5569,4601) > 
64.33armG  <  (5525,4893) (5525,4894) (5526,4894) (5526,4893) > 
65.04armG  <  (5655,551) (5655,552) (5656,552) (5656,551) > 
65.06armG  <  (5655,851) (5655,852) (5656,852) (5656,851) > 
65.08armG  <  (5655,1151) (5655,1152) (5656,1152) (5656,1151) > 
65.10armG  <  (5655,1451) (5655,1452) (5656,1452) (5656,1451) > 
65.22armG  <  (5655,3251) (5655,3252) (5656,3252) (5656,3251) > 
65.24armG  <  (5655,3551) (5655,3552) (5656,3552) (5656,3551) > 
65.26armG  <  (5655,3851) (5655,3852) (5656,3852) (5656,3851) > 
65.28armG  <  (5655,4151) (5655,4152) (5656,4152) (5656,4151) > 
65.30armG  <  (5655,4451) (5655,4452) (5656,4452) (5656,4451) > 
65.32armG  <  (5636,4751) (5636,4752) (5637,4752) (5637,4751) > 
66.03armG  <  (5742,401) (5742,402) (5743,402) (5743,401) > 
66.05armG  <  (5742,701) (5742,702) (5743,702) (5743,701) > 
66.07armG  <  (5742,1001) (5742,1002) (5743,1002) (5743,1001) > 
66.09armG  <  (5742,1301) (5742,1302) (5743,1302) (5743,1301) > 
66.21armG  <  (5709,3117) (5709,3118) (5710,3118) (5710,3117) > 
66.23armG  <  (5718,3391) (5718,3392) (5719,3392) (5719,3391) > 
66.25armG  <  (5723,3697) (5723,3698) (5724,3698) (5724,3697) > 
66.27armG  <  (5742,4001) (5742,4002) (5743,4002) (5743,4001) > 
66.29armG  <  (5742,4301) (5742,4302) (5743,4302) (5743,4301) > 
66.31armG  <  (5704,4562) (5704,4563) (5705,4563) (5705,4562) > 
66.33armG  <  (5714,4888) (5714,4889) (5715,4889) (5715,4888) > 
67.02armG  <  (5829,251) (5829,252) (5830,252) (5830,251) > 
67.04armG  <  (5829,551) (5829,552) (5830,552) (5830,551) > 
67.06armG  <  (5829,851) (5829,852) (5830,852) (5830,851) > 
67.08armG  <  (5829,1151) (5829,1152) (5830,1152) (5830,1151) > 
67.10armG  <  (5829,1451) (5829,1452) (5830,1452) (5830,1451) > 
67.26armG  <  (5811,3854) (5811,3855) (5812,3855) (5812,3854) > 
67.28armG  <  (5807,4178) (5807,4179) (5808,4179) (5808,4178) > 
67.30armG  <  (5829,4451) (5829,4452) (5830,4452) (5830,4451) > 
68.01armG  <  (5916,101) (5916,102) (5917,102) (5917,101) > 
68.03armG  <  (5916,401) (5916,402) (5917,402) (5917,401) > 
68.05armG  <  (5916,701) (5916,702) (5917,702) (5917,701) > 
68.07armG  <  (5916,1001) (5916,1002) (5917,1002) (5917,1001) > 
68.09armG  <  (5916,1301) (5916,1302) (5917,1302) (5917,1301) > 
68.27armG  <  (5894,3990) (5894,3991) (5895,3991) (5895,3990) > 
68.29armG  <  (5892,4337) (5892,4338) (5893,4338) (5893,4337) > 
68.31armG  <  (5905,4559) (5905,4560) (5906,4560) (5906,4559) > 
